No.,Time,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Var delay,,,Total Delay,,Rata2 Delay
1,0,,0,0.005952,0.005952,,0.005952,0.003011,-0.002941,,,301.139268,,0.012111457
2,0.005952,,0.005952,0.008963,0.003011,,0.003011,0.001929,-0.001082,,,,,
3,0.008963,,0.008963,0.010892,0.001929,,0.001929,0.000684,-0.001245,,,Var delay,,Jitter
4,0.010892,,0.010892,0.011576,0.000684,,0.000684,0.000264,-0.00042,,,-0.00042,,-1.69E-08
5,0.011576,,0.011576,0.01184,0.000264,,0.000264,0.000626,0.000362,,,,,
6,0.01184,,0.01184,0.012466,0.000626,,0.000626,0.042081,0.041455,,,,,
7,0.012466,,0.012466,0.054547,0.042081,,0.042081,0.70822,0.666139,,,,,
8,0.054547,,0.054547,0.762767,0.70822,,0.70822,0.000199,-0.708021,,,,,
9,0.762767,,0.762767,0.762966,0.000199,,0.000199,0.000104,-0.000095,,,,,
10,0.762966,,0.762966,0.76307,0.000104,,0.000104,0.00095,0.000846,,,,,
11,0.76307,,0.76307,0.76402,0.00095,,0.00095,0.023949,0.022999,,,,,
12,0.76402,,0.76402,0.787969,0.023949,,0.023949,0.005362,-0.018587,,,,,
13,0.787969,,0.787969,0.793331,0.005362,,0.005362,0.012345,0.006983,,,,,
14,0.793331,,0.793331,0.805676,0.012345,,0.012345,0.004198,-0.008147,,,,,
15,0.805676,,0.805676,0.809874,0.004198,,0.004198,0.003912,-0.000286,,,,,
16,0.809874,,0.809874,0.813786,0.003912,,0.003912,0.008694,0.004782,,,,,
17,0.813786,,0.813786,0.82248,0.008694,,0.008694,0,-0.008694,,,,,
18,0.82248,,0.82248,0.82248,0,,0,0,0,,,,,
19,0.82248,,0.82248,0.82248,0,,0,0,0,,,,,
20,0.82248,,0.82248,0.82248,0,,0,0,0,,,,,
21,0.82248,,0.82248,0.82248,0,,0,0.001311,0.001311,,,,,
22,0.82248,,0.82248,0.823791,0.001311,,0.001311,0.000331,-0.00098,,,,,
23,0.823791,,0.823791,0.824122,0.000331,,0.000331,0,-0.000331,,,,,
24,0.824122,,0.824122,0.824122,0,,0,0.000735,0.000735,,,,,
25,0.824122,,0.824122,0.824857,0.000735,,0.000735,0.034635,0.0339,,,,,
26,0.824857,,0.824857,0.859492,0.034635,,0.034635,0.010812,-0.023823,,,,,
27,0.859492,,0.859492,0.870304,0.010812,,0.010812,0.001053,-0.009759,,,,,
28,0.870304,,0.870304,0.871357,0.001053,,0.001053,0.007643,0.00659,,,,,
29,0.871357,,0.871357,0.879,0.007643,,0.007643,0.003835,-0.003808,,,,,
30,0.879,,0.879,0.882835,0.003835,,0.003835,0,-0.003835,,,,,
31,0.882835,,0.882835,0.882835,0,,0,0,0,,,,,
32,0.882835,,0.882835,0.882835,0,,0,0,0,,,,,
33,0.882835,,0.882835,0.882835,0,,0,0.001308,0.001308,,,,,
34,0.882835,,0.882835,0.884143,0.001308,,0.001308,0.015835,0.014527,,,,,
35,0.884143,,0.884143,0.899978,0.015835,,0.015835,0.000905,-0.01493,,,,,
36,0.899978,,0.899978,0.900883,0.000905,,0.000905,0.01014,0.009235,,,,,
37,0.900883,,0.900883,0.911023,0.01014,,0.01014,0.008494,-0.001646,,,,,
38,0.911023,,0.911023,0.919517,0.008494,,0.008494,0,-0.008494,,,,,
39,0.919517,,0.919517,0.919517,0,,0,0,0,,,,,
40,0.919517,,0.919517,0.919517,0,,0,0,0,,,,,
41,0.919517,,0.919517,0.919517,0,,0,0,0,,,,,
42,0.919517,,0.919517,0.919517,0,,0,0.002542,0.002542,,,,,
