No.,Time,,Time 1,Time 2,Delay,,Rata2 Delay,,delay 1,delay 2,var delay,,tot var,Jitter
1,0,,0,0.009915,0.009915,,0.006476344,,0.009915,0.000127,-0.009788,,0.022321,4.78509E-07
2,0.009915,,0.009915,0.010042,0.000127,,,,0.000127,3.9E-05,-8.8E-05,,,
3,0.010042,,0.010042,0.010081,3.9E-05,,,,3.9E-05,3.8E-05,-1E-06,,,
4,0.010081,,0.010081,0.010119,3.8E-05,,,,3.8E-05,3.5E-05,-3E-06,,,
5,0.010119,,0.010119,0.010154,3.5E-05,,,,3.5E-05,0.029626,0.029591,,,
6,0.010154,,0.010154,0.03978,0.029626,,,,0.029626,0.01017,-0.019456,,,
7,0.03978,,0.03978,0.04995,0.01017,,,,0.01017,0.002984,-0.007186,,,
8,0.04995,,0.04995,0.052934,0.002984,,,,0.002984,0.004709,0.001725,,,
9,0.052934,,0.052934,0.057643,0.004709,,,,0.004709,0.002781,-0.001928,,,
10,0.057643,,0.057643,0.060424,0.002781,,,,0.002781,0.019785,0.017004,,,
11,0.060424,,0.060424,0.080209,0.019785,,,,0.019785,0.010609,-0.009176,,,
12,0.080209,,0.080209,0.090818,0.010609,,,,0.010609,0.00013,-0.010479,,,
13,0.090818,,0.090818,0.090948,0.00013,,,,0.00013,0.019604,0.019474,,,
14,0.090948,,0.090948,0.110552,0.019604,,,,0.019604,0.010273,-0.009331,,,
15,0.110552,,0.110552,0.120825,0.010273,,,,0.010273,0.000303,-0.00997,,,
16,0.120825,,0.120825,0.121128,0.000303,,,,0.000303,0.000134,-0.000169,,,
17,0.121128,,0.121128,0.121262,0.000134,,,,0.000134,4.9E-05,-8.5E-05,,,
18,0.121262,,0.121262,0.121311,4.9E-05,,,,4.9E-05,5.7E-05,8E-06,,,
19,0.121311,,0.121311,0.121368,5.7E-05,,,,5.7E-05,7E-05,1.3E-05,,,
20,0.121368,,0.121368,0.121438,7E-05,,,,7E-05,4E-05,-3E-05,,,
21,0.121438,,0.121438,0.121478,4E-05,,,,4E-05,3.9E-05,-1E-06,,,
22,0.121478,,0.121478,0.121517,3.9E-05,,,,3.9E-05,9.5E-05,5.6E-05,,,
23,0.121517,,0.121517,0.121612,9.5E-05,,,,9.5E-05,7.6E-05,-1.9E-05,,,
24,0.121612,,0.121612,0.121688,7.6E-05,,,,7.6E-05,0.029545,0.029469,,,
25,0.121688,,0.121688,0.151233,0.029545,,,,0.029545,0.010127,-0.019418,,,
26,0.151233,,0.151233,0.16136,0.010127,,,,0.010127,0.00019,-0.009937,,,
27,0.16136,,0.16136,0.16155,0.00019,,,,0.00019,5.4E-05,-0.000136,,,
28,0.16155,,0.16155,0.161604,5.4E-05,,,,5.4E-05,5.3E-05,-1E-06,,,
29,0.161604,,0.161604,0.161657,5.3E-05,,,,5.3E-05,0.000101,4.8E-05,,,
30,0.161657,,0.161657,0.161758,0.000101,,,,0.000101,0.040277,0.040176,,,
31,0.161758,,0.161758,0.202035,0.040277,,,,0.040277,0.010404,-0.029873,,,
32,0.202035,,0.202035,0.212439,0.010404,,,,0.010404,0.010179,-0.000225,,,
