No.,Time,,Time 1,Time 2,Delay,,Rata2 Delay,,Delay 1,Delay 2,Var delay,,Total Var ,Jitter
1,0,,0,0.005896,0.005896,,0.009471936,,0.005896,0.0134,0.007504,,0.009227,2.89529E-07
2,0.005896,,0.005896,0.019296,0.0134,,,,0.0134,0.00624,-0.00716,,,
3,0.019296,,0.019296,0.025536,0.00624,,,,0.00624,0.009828,0.003588,,,
4,0.025536,,0.025536,0.035364,0.009828,,,,0.009828,0.004407,-0.005421,,,
5,0.035364,,0.035364,0.039771,0.004407,,,,0.004407,0.006086,0.001679,,,
6,0.039771,,0.039771,0.045857,0.006086,,,,0.006086,0.012405,0.006319,,,
7,0.045857,,0.045857,0.058262,0.012405,,,,0.012405,0.006919,-0.005486,,,
8,0.058262,,0.058262,0.065181,0.006919,,,,0.006919,0.01406,0.007141,,,
9,0.065181,,0.065181,0.079241,0.01406,,,,0.01406,0.006966,-0.007094,,,
10,0.079241,,0.079241,0.086207,0.006966,,,,0.006966,0.011839,0.004873,,,
11,0.086207,,0.086207,0.098046,0.011839,,,,0.011839,0.007186,-0.004653,,,
12,0.098046,,0.098046,0.105232,0.007186,,,,0.007186,0.003291,-0.003895,,,
13,0.105232,,0.105232,0.108523,0.003291,,,,0.003291,0.003617,0.000326,,,
14,0.108523,,0.108523,0.11214,0.003617,,,,0.003617,0.005754,0.002137,,,
15,0.11214,,0.11214,0.117894,0.005754,,,,0.005754,0.007944,0.00219,,,
16,0.117894,,0.117894,0.125838,0.007944,,,,0.007944,0.012587,0.004643,,,
17,0.125838,,0.125838,0.138425,0.012587,,,,0.012587,0.00691,-0.005677,,,
18,0.138425,,0.138425,0.145335,0.00691,,,,0.00691,0.013811,0.006901,,,
19,0.145335,,0.145335,0.159146,0.013811,,,,0.013811,0.007062,-0.006749,,,
20,0.159146,,0.159146,0.166208,0.007062,,,,0.007062,0.011884,0.004822,,,
21,0.166208,,0.166208,0.178092,0.011884,,,,0.011884,0.007107,-0.004777,,,
22,0.178092,,0.178092,0.185199,0.007107,,,,0.007107,0.012816,0.005709,,,
23,0.185199,,0.185199,0.198015,0.012816,,,,0.012816,0.007692,-0.005124,,,
24,0.198015,,0.198015,0.205707,0.007692,,,,0.007692,0.012817,0.005125,,,
25,0.205707,,0.205707,0.218524,0.012817,,,,0.012817,0.006635,-0.006182,,,
26,0.218524,,0.218524,0.225159,0.006635,,,,0.006635,0.013557,0.006922,,,
27,0.225159,,0.225159,0.238716,0.013557,,,,0.013557,0.00728,-0.006277,,,
28,0.238716,,0.238716,0.245996,0.00728,,,,0.00728,0.016244,0.008964,,,
29,0.245996,,0.245996,0.26224,0.016244,,,,0.016244,0.003658,-0.012586,,,
30,0.26224,,0.26224,0.265898,0.003658,,,,0.003658,0.017024,0.013366,,,
